id,style,link,brand,description,day dress,category,price,color,Fabric,Outer Fabric,Lining,Care instructions,Collar,Collar,Cut,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Jacket length,Q1,Q2,Q3,Q4,Q5
1,sporty,https://www.zalando.co.uk/tommy-hilfiger-interlock-hoodie-short-dress-day-dress-desert-sky-to121c0k7-k11.html,Tommy Hilfiger,INTERLOCK HOODIE SHORT DRESS , Day dress,summer-dresses,76.99,black,Sweat,"64% cotton, 36% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,Zip,Hooded,--,Plain,"Inseam pockets, elasticated waist",TO121C0K7-K11,Short,Long,"35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No
2,edgy,https://www.zalando.co.uk/esprit-dresses-light-day-dress-light-khaki-es121c222-n11.html,Esprit,DRESSES LIGHT , Day dress,summer-dresses,43.99,army green,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button-down dresses,Low-cut v-neck,Plain,--,ES121C222-N11,Knee-length,Elbow length,"37.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No
3,edgy,https://www.zalando.co.uk/twinset-coated-dress-cocktail-dress-party-dress-nero-tw321c07h-q11.html,TWINSET,COATED DRESS , Day dress,summer-dresses,244.99,black,Faux leather,"87% viscose, 13% polyester",--,Hand wash only,--,--,Button,Waist accent,Low-cut v-neck,Plain,"Bust darts, inseam pockets, belt included",TW321C07H-Q11,Calf-length,Elbow length,"46.5 "" (Size 8)",Slim Fit,--,"17.5 "" (Size 8)",No,yes,No,No,No
4,girly,https://www.zalando.co.uk/vero-moda-vmhenna-wrap-dress-day-dress-woodrose-ve121c22r-j12.html,Vero Moda,VMHENNA , Day dress,summer-dresses,21.69,pink,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Laces,Wrap dress,Low-cut v-neck,Print,Bust darts,VE121C22R-J12,Knee-length,Elbow length,"39.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
5,trendy,https://www.zalando.co.uk/new-girl-order-dot-dress-day-dress-lilacyellow-nem21c01u-i11.html,NEW girl ORDER,DOT DRESS , Day dress,summer-dresses,36.99,white multi-coloured,--,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bodycon,spaghetti,Polka dot,--,NEM21C01U-I11,Extra short,Spaghetti straps,"31.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",--,No,No,No,No,Yes
6,trendy,https://www.zalando.co.uk/moss-copenhagen-petronia-dress-day-dress-pink-cosmos-m0y21c09z-j11.html,Moss Copenhagen,PETRONIA DRESS , Day dress,summer-dresses,74.99,pink,--,100% cotton,--,--,Turn-down collar,--,Button,Button-down dresses,--,Plain,Bust darts,M0Y21C09Z-J11,Short,Elbow length,"38.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","13.0 "" (Size S)",No,No,No,No,No
7,sporty,https://www.zalando.co.uk/zign-day-dress-grey-zi121c026-c11.html,Zign,REDEZIGN  , Day dress,Cocktail Dresses,21.24,grey,Jersey,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Crew neck,Plain,--,ZI121C026-C11,Calf-length,Short,"42.5 "" (Size M)",Loose Fit,--,--,No,No,No,No,No
8,casual chic,https://www.zalando.co.uk/superdry-studios-long-sleeve-jersey-dress-blue-paint-strokes-su221d265-k11.html,Superdry,STUDIOS  , Day dress,summer-dresses,30,bright multi-coloured,--,100% viscose,--,"Do not bleach, do not tumble dry",--,--,Zip,,Crew neck,Polka dot,--,SU221D265-K11,Short,Long,--,Regular Fit,--,--,No,No,No,No,No
9,girly,https://www.zalando.co.uk/only-petite-onlolivia-wrap-dress-day-dress-blue-op421c09z-k12.html,ONLY Petite,ONLOLIVIA WRAP DRESS , Day dress,summer-dresses,25.99,blue,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,Laces,Wrap dress,Low-cut v-neck,Floral,Bust darts,OP421C09Z-K12,Short,Short,"38.0 "" (Size 8)",Slim Fit,--,"14.5 "" (Size 8)",No,No,No,No,No
10,alternative,https://www.zalando.co.uk/superdry-day-dress-deep-green-su221c0nu-c11.html,Superdry,Day dress,,summer-dresses,64.99,blue,--,100% viscose,--,"Do not tumble dry, Do not bleach",--,--,Drawstring fastening,spaghetti,Print,"Adjustable straps, tassels",SU221C0NU-C11,Calf-length,Spaghetti straps,--,Slim Fit,Slim fit,--,No,Yes,No,No,Yes,--
11,girly,https://www.zalando.co.uk/vero-moda-petite-vmnora-new-singlet-calf-dress-day-dress-granada-skysnow-white-vm021c0a7-k11.html,Vero Moda Petite,VMNORA NEW SINGLET CALF DRESS , Day dress,summer-dresses,34.99,pastel blue,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Laces,,spaghetti,Polka dot,Adjustable straps,VM021C0A7-K11,Calf-length,Spaghetti straps,"39.5 "" (Size S)",Regular Fit,--,--,No,No,No,No,Yes
12,sporty,https://www.zalando.co.uk/jdy-jdymary-dress-day-dress-dark-grey-melange-jy121c0g3-c12.html,JDY,JDYMARY DRESS , Day dress,summer-dresses,25.99,grey,Sweat,"65% polyester, 35% viscose",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded,--,Plain,--,JY121C0G3-C12,Knee-length,Long,"40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No
13,alternative,https://www.zalando.co.uk/vila-petite-vietna-34-short-dress-day-dress-cement-vip21c03r-a11.html,VILA PETITE,VIETNA 3/4 SHORT DRESS , Day dress,summer-dresses,34.99,sand,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,,V-neck,Striped,--,VIP21C03R-A11,Short,Elbow length,"33.5 "" (Size 8)",Loose Fit,--,"13.0 "" (Size 8)",No,No,No,No,No
14,casual chic,https://www.zalando.co.uk/vero-moda-vmsunilla-nora-tie-shirt-dress-shirt-dress-blackblueyellow-ve121c365-q11.html,Vero Moda,VMSUNILLA NORA TIE SHIRT DRESS , Day dress,summer-dresses,34.99,black multi-coloured,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Button,,Low-cut v-neck,Floral,"Bust darts, bow",VE121C365-Q11,Short,Long,"34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
15,alternative,https://www.zalando.co.uk/rebecca-minkoff-mina-dress-day-dress-terra-rm621c02h-g11.html,Rebecca Minkoff,MINA DRESS , Day dress,summer-dresses,144.99,burnt orange,Sweat,100% cotton,--,Hand wash only,--,--,--,,Crew neck,Plain,--,RM621C02H-G11,Extra short,Elbow length,"32.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",--,No,No,No,No,No
16,classic,https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Saint Tropez,EDASZ SOLID DRESS , Day dress,summer-dresses,34.99,navy,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,,Low-cut v-neck,Plain,--,S2821C08E-K11,Knee-length,Elbow length,"39.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
17,casual chic,https://www.zalando.co.uk/evenandodd-day-dress-black-ev421c17y-q11.html,Even&Odd,Day dress,,summer-dresses,30.99,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Crew neck,Floral,Slip,EV421C17Y-Q11,Short,Long,"33.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",Yes,No,No,No,No
18,trendy,https://www.zalando.co.uk/vila-vipartina-dress-cocktail-dress-party-dress-bodacious-pink-v1021c2oq-j11.html,Vila,VIPARTINA DRESS , Cocktail dress / Party dress,Cocktail Dresses,30.99,pink,Jersey,"88% polyester, 12% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Wrap dress,Low-cut v-neck,Plain,Slip,V1021C2OQ-J11,Knee-length,Long,--,Slim Fit,--,--,No,No,No,No,No
19,edgy,https://www.zalando.co.uk/proenza-schouler-white-label-wrap-dress-cocktail-dress-party-dress-black-p1y21c00k-q11.html,Proenza Schouler White Label,WRAP DRESS , Day dress,summer-dresses,630,black,Faux leather,100% polyester,"50% polyester, 50% viscose",Hand wash only,--,--,Belt,Wrap dress,Low-cut v-neck,Plain,Belt included,P1Y21C00K-Q11,Calf-length,Long,"47.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",No,No,No,No,No
20,casual chic,https://www.zalando.co.uk/modstroem-oline-day-dress-freesia-green-mo421c08p-m11.html,ModstrÃ¶m,OLINE , Day dress,Cocktail Dresses,104.99,green,--,100% viscose,--,--,--,--,Laces,Wrap dress,Low-cut v-neck,Floral,--,MO421C08P-M11,Calf-length,Long,"52.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
